file_name,extracted_field_mT
scan_385_51_1731mT.txt,51.1731
scan_386_53_9242mT.txt,53.9242
scan_387_56_3309mT.txt,56.3309
scan_388_58_362mT.txt,58.362
scan_389_60_0085mT.txt,60.0085
scan_390_61_2774mT.txt,61.2774
scan_391_62_1897mT.txt,62.1897
scan_392_62_7816mT.txt,62.7816
scan_393_63_1072mT.txt,63.1072
scan_394_63_2444mT.txt,63.2444
scan_395_63_3007mT.txt,63.3007
scan_396_63_413mT.txt,63.413
scan_397_63_7308mT.txt,63.7308
scan_398_64_3758mT.txt,64.3758
scan_399_65_3812mT.txt,65.3812
scan_400_66_6343mT.txt,66.6343
scan_401_67_8571mT.txt,67.8571
scan_402_68_6796mT.txt,68.6796
scan_403_68_797mT.txt,68.797
scan_404_68_0946mT.txt,68.0946
scan_405_66_6453mT.txt,66.6453
scan_406_64_6279mT.txt,64.6279
scan_407_62_2483mT.txt,62.2483
scan_408_59_6962mT.txt,59.6962
scan_409_57_1263mT.txt,57.1263
scan_410_54_6539mT.txt,54.6539
scan_411_52_3536mT.txt,52.3536
scan_412_50_2589mT.txt,50.2589
scan_413_48_3599mT.txt,48.3599
scan_414_46_6042mT.txt,46.6042
scan_415_44_9085mT.txt,44.9085
scan_416_43_1879mT.txt,43.1879
scan_417_41_3961mT.txt,41.3961
scan_418_39_5533mT.txt,39.5533
scan_419_37_7391mT.txt,37.7391
scan_420_36_0587mT.txt,36.0587
scan_421_34_6153mT.txt,34.6153
scan_422_33_5055mT.txt,33.5055
scan_423_32_8287mT.txt,32.8287
scan_424_32_6947mT.txt,32.6947
scan_425_33_2163mT.txt,33.2163
scan_426_34_4754mT.txt,34.4754
scan_427_36_4728mT.txt,36.4728
scan_428_39_0968mT.txt,39.0968
scan_429_42_1413mT.txt,42.1413
scan_430_45_3671mT.txt,45.3671
scan_431_48_5606mT.txt,48.5606
scan_432_51_5589mT.txt,51.5589
scan_433_54_2451mT.txt,54.2451
scan_434_56_5342mT.txt,56.5342
scan_435_58_3688mT.txt,58.3688
scan_436_59_725mT.txt,59.725
scan_437_60_6189mT.txt,60.6189
scan_438_61_1035mT.txt,61.1035
scan_439_61_2612mT.txt,61.2612
scan_440_61_198mT.txt,61.198
scan_441_61_0409mT.txt,61.0409
scan_442_60_9349mT.txt,60.9349
scan_443_61_0323mT.txt,61.0323
scan_444_61_4675mT.txt,61.4675
scan_445_62_3191mT.txt,62.3191
scan_446_63_563mT.txt,63.563
scan_447_65_0312mT.txt,65.0312
scan_448_66_4072mT.txt,66.4072
scan_449_67_3113mT.txt,67.3113
scan_450_67_4608mT.txt,67.4608
scan_451_66_7844mT.txt,66.7844
scan_452_65_4028mT.txt,65.4028
scan_453_63_5341mT.txt,63.5341
scan_454_61_4081mT.txt,61.4081
scan_455_59_2214mT.txt,59.2214
scan_456_57_1214mT.txt,57.1214
scan_457_55_2038mT.txt,55.2038
scan_458_53_5124mT.txt,53.5124
scan_459_52_0379mT.txt,52.0379
scan_460_50_7186mT.txt,50.7186
scan_461_49_4484mT.txt,49.4484
scan_462_48_1007mT.txt,48.1007
scan_463_46_5694mT.txt,46.5694
scan_464_44_8174mT.txt,44.8174
scan_465_42_9012mT.txt,42.9012
scan_466_40_9494mT.txt,40.9494
scan_467_39_1138mT.txt,39.1138
scan_468_37_5326mT.txt,37.5326
scan_469_36_3242mT.txt,36.3242
scan_470_35_5942mT.txt,35.5942
scan_471_35_4364mT.txt,35.4364
scan_472_35_9189mT.txt,35.9189
scan_473_37_0575mT.txt,37.0575
scan_474_38_797mT.txt,38.797
